ASSET TYPE,DIVISION,AREA,CATEGORY,ROW Name,ROW Code,START TRAP,END TRAP,Milepost,Inspection Date,Test Point Protection Criteria,Structure Meets 100mV,Structure Meets -850mV IRF ,Structure Meets Any Criteria,Structure Readings Meet Criteria,Structure P/S,Structure IRF,Bridge ID,Facility Inspection Id,Latitude,Longitude,Test Point Anchor Type,Test Point Classification,Test Point Monitoring Type,Test Point required to monitor AC Voltage,Test Point required to monitor AC Voltage (note),Is High Consequence Area,Facility and ROW Currently Active,Facility Active
PIPELINE,PIPELINES,ACTIVE PIPELINES,L0004,STROME - HARDISTY,L0004 03 ST-YP,STROME,HARDISTY,70.9,9/30/20 1:21,.85 IRF,FALSE,TRUE,TRUE,TRUE,-1.297,-1.014,e175b8d2-90f6-4cd6-b2d8-97e98c13051b,f51d4f11-5983-498f-828b-d5cf5199f01e,52.92503738,-112.0599747,Adjecent Rectifier,Anchor,,,,TRUE,TRUE,TRUE
PIPELINE,PIPELINES,ACTIVE PIPELINES,L0004,STROME - HARDISTY,L0004 03 ST-YP,STROME,HARDISTY,70.9,8/27/21 10:22,.85 IRF,FALSE,FALSE,FALSE,,,,e175b8d2-90f6-4cd6-b2d8-97e98c13051b,796acd4c-c6cb-4c0a-95f6-a9f1dc8377e1,52.92503738,-112.0599747,Adjecent Rectifier,Anchor,,,,TRUE,TRUE,TRUE
PIPELINE,PIPELINES,ACTIVE PIPELINES,L0004,STROME - HARDISTY,L0004 03 ST-YP,STROME,HARDISTY,70.9,7/5/19 13:17,.85 IRF,FALSE,TRUE,TRUE,TRUE,-1.324,-1.053,e175b8d2-90f6-4cd6-b2d8-97e98c13051b,4ca8c7a5-a163-4977-ad4c-ace6e5650aac,52.92503738,-112.0599747,Adjecent Rectifier,Anchor,,,,TRUE,TRUE,TRUE
PIPELINE,PIPELINES,ACTIVE PIPELINES,L0004,STROME - HARDISTY,L0004 03 ST-YP,STROME,HARDISTY,70.9,8/29/21 12:28,.85 IRF,FALSE,TRUE,TRUE,TRUE,-1.237,-0.98,e175b8d2-90f6-4cd6-b2d8-97e98c13051b,a42296f1-74fd-4027-a5c2-1bcef0dc2fca,52.92503738,-112.0599747,Adjecent Rectifier,Anchor,,,,TRUE,TRUE,TRUE
PIPELINE,PIPELINES,ACTIVE PIPELINES,L0004,STROME - HARDISTY,L0004 03 ST-YP,STROME,HARDISTY,70.9,5/26/22 11:36,.85 IRF,FALSE,TRUE,TRUE,TRUE,-1.157,-0.878,e175b8d2-90f6-4cd6-b2d8-97e98c13051b,09e2f9fd-784d-4cb1-ab19-ebb69aab3946,52.92503738,-112.0599747,Adjecent Rectifier,Anchor,,,,TRUE,TRUE,TRUE
PIPELINE,PIPELINES,ACTIVE PIPELINES,L0004,STROME - HARDISTY,L0004 03 ST-YP,STROME,HARDISTY,72.044,9/30/20 1:48,.85 IRF,FALSE,FALSE,FALSE,FALSE,0.013,0.013,1ebdffce-01f1-401b-8009-b28930d26d9d,9c4e96dc-82ba-483b-8abe-4117808b58d9,52.91689682,-112.0354843,,Continue to Monitor,CP Sub-criterion,,,TRUE,TRUE,TRUE
PIPELINE,PIPELINES,ACTIVE PIPELINES,L0004,STROME - HARDISTY,L0004 03 ST-YP,STROME,HARDISTY,72.044,5/26/22 12:13,.85 IRF,FALSE,FALSE,FALSE,FALSE,-0.047,-0.048,1ebdffce-01f1-401b-8009-b28930d26d9d,789e0c58-eb01-41a7-85dc-0bd1ceeeb0ff,52.91689682,-112.0354843,,Continue to Monitor,CP Sub-criterion,,,TRUE,TRUE,TRUE
PIPELINE,PIPELINES,ACTIVE PIPELINES,L0004,STROME - HARDISTY,L0004 03 ST-YP,STROME,HARDISTY,72.044,8/27/21 10:29,.85 IRF,FALSE,FALSE,FALSE,,,,1ebdffce-01f1-401b-8009-b28930d26d9d,7eecb8ea-5a21-4ca0-8c1d-ff16d8440ed5,52.91689682,-112.0354843,,Continue to Monitor,CP Sub-criterion,,,TRUE,TRUE,TRUE
PIPELINE,PIPELINES,ACTIVE PIPELINES,L0004,STROME - HARDISTY,L0004 03 ST-YP,STROME,HARDISTY,72.044,7/5/19 13:36,.85 IRF,FALSE,FALSE,FALSE,FALSE,-0.021,-0.02,1ebdffce-01f1-401b-8009-b28930d26d9d,e978271a-a0e9-4b0f-ab83-31caa45b96dc,52.91689682,-112.0354843,,Continue to Monitor,CP Sub-criterion,,,TRUE,TRUE,TRUE
PIPELINE,PIPELINES,ACTIVE PIPELINES,L0004,STROME - HARDISTY,L0004 03 ST-YP,STROME,HARDISTY,72.044,8/29/21 12:48,.85 IRF,FALSE,FALSE,FALSE,FALSE,-0.027,-0.029,1ebdffce-01f1-401b-8009-b28930d26d9d,6313b147-ebc1-40f2-a6e8-99c084f89304,52.91689682,-112.0354843,,Continue to Monitor,CP Sub-criterion,,,TRUE,TRUE,TRUE
PIPELINE,PIPELINES,ACTIVE PIPELINES,L0004,STROME - HARDISTY,L0004 03 ST-YP,STROME,HARDISTY,72.044,5/26/22 12:18,.85 IRF,FALSE,TRUE,TRUE,TRUE,-1.194,-0.954,884056de-fb9f-4699-8b30-979d51884431,2754517d-a227-4e24-817a-3642ef6d4b13,52.91680908,-112.0354919,Adjecent Rectifier,Anchor,,,,,TRUE,TRUE
PIPELINE,PIPELINES,ACTIVE PIPELINES,L0004,STROME - HARDISTY,L0004 03 ST-YP,STROME,HARDISTY,72.044,8/29/21 12:56,.85 IRF,FALSE,FALSE,FALSE,,,,884056de-fb9f-4699-8b30-979d51884431,d43cca8b-2e64-4ce5-b07b-41023b80e267,52.91680908,-112.0354919,Adjecent Rectifier,Anchor,,,,,TRUE,TRUE
PIPELINE,PIPELINES,ACTIVE PIPELINES,L0004,STROME - HARDISTY,L0004 03 ST-YP,STROME,HARDISTY,72.044,9/30/20 1:56,.85 IRF,FALSE,FALSE,FALSE,,,,884056de-fb9f-4699-8b30-979d51884431,63421d12-9d08-4718-bb00-44704469467e,52.91680908,-112.0354919,Adjecent Rectifier,Anchor,,,,,TRUE,TRUE
PIPELINE,PIPELINES,ACTIVE PIPELINES,L0004,STROME - HARDISTY,L0004 03 ST-YP,STROME,HARDISTY,72.044,7/20/19 0:29,.85 IRF,FALSE,TRUE,TRUE,TRUE,-1.206,-1.148,884056de-fb9f-4699-8b30-979d51884431,b5ff805b-3806-4ca5-a7bf-08b2b6d52291,52.91680908,-112.0354919,Adjecent Rectifier,Anchor,,,,,TRUE,TRUE
PIPELINE,PIPELINES,ACTIVE PIPELINES,L0004,STROME - HARDISTY,L0004 03 ST-YP,STROME,HARDISTY,73.2,7/26/19 17:23,.85 IRF,FALSE,TRUE,TRUE,TRUE,-1.37,-1.042,73ff4be7-2139-4729-bff9-3510786f8468,a6532742-e875-4ff3-b9b7-18e0365227ec,52.90844727,-112.0116806,,Supplementary,,,,FALSE,TRUE,TRUE
PIPELINE,PIPELINES,ACTIVE PIPELINES,L0004,STROME - HARDISTY,L0004 03 ST-YP,STROME,HARDISTY,73.2,8/30/21 11:04,.85 IRF,FALSE,TRUE,TRUE,TRUE,-1.282,-0.972,73ff4be7-2139-4729-bff9-3510786f8468,7b7ef336-15db-4b10-ab4f-3f13a4bf7249,52.90844727,-112.0116806,,Supplementary,,,,FALSE,TRUE,TRUE
PIPELINE,PIPELINES,ACTIVE PIPELINES,L0004,STROME - HARDISTY,L0004 03 ST-YP,STROME,HARDISTY,73.2,5/26/22 12:58,.85 IRF,FALSE,TRUE,TRUE,TRUE,-1.375,-1.065,73ff4be7-2139-4729-bff9-3510786f8468,48857347-530e-4dba-92a4-96b402fc06aa,52.90844727,-112.0116806,,Supplementary,,,,FALSE,TRUE,TRUE
PIPELINE,PIPELINES,ACTIVE PIPELINES,L0004,STROME - HARDISTY,L0004 03 ST-YP,STROME,HARDISTY,74.35,5/26/22 13:09,.85 IRF,FALSE,TRUE,TRUE,TRUE,-1.06,-1.048,34b6e603-c53b-4ea4-a4f7-d8ebc2a9347c,06d3214b-6a57-4efe-b441-873bac60f4e1,52.89973068,-111.9872284,,Supplementary,,,,FALSE,TRUE,TRUE
